[12:59:11] [main/INFO]: ModLauncher running: args [--username, NeofastFTL, --version, neoforge-21.1.133, --gameDir, C:\Users\NeofastFTL\curseforge\minecraft\Instances\Tegra Quaestus, --assetsDir, C:\Users\NeofastFTL\curseforge\minecraft\Install\assets, --assetIndex, 17, --uuid, 7c5fc52273484c44957500b6a46b7608, --accessToken, ❄❄❄❄❄❄❄❄, --clientId, 25ec06-1fb4cd-1d3e26-a999ef-b60940, --xuid, 2535406490182982, --userType, msa, --versionType, release, --width, 1024, --height, 768, --fml.neoForgeVersion, 21.1.133, --fml.fmlVersion, 4.0.38, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, --launchTarget, forgeclient]
[12:59:11] [main/INFO]: JVM identified as Eclipse Adoptium OpenJDK 64-Bit Server VM 21.0.6+7-LTS
[12:59:11] [main/INFO]: ModLauncher 11.0.4+main.d2e20e43 starting: java version 21.0.6 by Eclipse Adoptium; OS Windows 10 arch amd64 version 10.0
[12:59:12] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[12:59:12] [main/INFO]: Trying GL version 4.6
[12:59:13] [main/INFO]: Requested GL version 4.6 got version 4.6
[12:59:13] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=union:/C:/Users/NeofastFTL/curseforge/minecraft/Install/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar%23135!/ Service=ModLauncher Env=CLIENT
[12:59:13] [main/INFO]: Launching CrashAssistantApp
[12:59:13] [pool-2-thread-1/INFO]: GL info: Intel(R) Iris(R) Xe Graphics GL version 4.6.0 - Build 32.0.101.6458, Intel
[12:59:14] [main/INFO]: Found mod file "client-1.21.1-20240808.144430-srg.jar" [locator: production client provider +net.neoforged:neoforge:21.1.133:client]
[12:59:14] [main/INFO]: Found mod file "neoforge-21.1.133-universal.jar" [locator: PathBasedLocator[name=neoforge, paths=[C:\Users\NeofastFTL\curseforge\minecraft\Install\libraries\net\neoforged\neoforge\21.1.133\neoforge-21.1.133-universal.jar]], reader: mod manifest]
[12:59:14] [main/INFO]: Found mod file "[1.21.1] SecurityCraft v1.9.12.jar" [locator: {mods folder locator at C:\Users\NeofastFTL\curseforge\minecraft\Instances\Tegra Quaestus\mods}, reader: mod manifest]
[12:59:14] [main/INFO]: Found mod file "actuallyadditions-1.3.16+mc1.21.1.jar" [locator: {mods folder locator at C:\Users\NeofastFTL\curseforge\minecraft\Instances\Tegra Quaestus\mods}, reader: mod manifest]
[12:59:14] [main/INFO]: Found mod file "AdvancedAE-1.2.5-1.21.1.jar" [locator: {mods folder locator at C:\Users\NeofastFTL\curseforge\minecraft\Instances\Tegra Quaestus\mods}, reader: mod manifest]
[12:59:14] [main/INFO]: Found mod file "AdvancementPlaques-1.21.1-neoforge-1.6.8.jar" [locator: {mods folder locator at C:\Users\NeofastFTL\curseforge\minecraft\Instances\Tegra Quaestus\mods}, reader: mod manifest]
[12:59:14] [main/INFO]: Found mod file "AE2-Things-1.4.2-beta.jar" [locator: {mods folder locator at C:\Users\NeofastFTL\curseforge\minecraft\Instances\Tegra Quaestus\mods}, reader: mod manifest]
[12:59:14] [main/INFO]: Found mod file "ae2ct-1.21.1-1.0.5.jar" [locator: {mods folder locator at C:\Users\NeofastFTL\curseforge\minecraft\Instances\Tegra Quaestus\mods}, reader: mod manifest]
[12:59:14] [main/INFO]: Found mod file "ae2importexportcard-1.21-1.4.0.jar" [locator: {mods folder locator at C:\Users\NeofastFTL\curseforge\minecraft\Instances\Tegra Quaestus\mods}, reader: mod manifest]
[12:59:14] [main/INFO]: Found mod file "ae2jeiintegration-1.2.0.jar" [locator: {mods folder locator at C:\Users\NeofastFTL\curseforge\minecraft\Instances\Tegra Quaestus\mods}, reader: mod manifest]
